NAME,PARTIES
ADDUCE Salvatore,L'Ulivo
ADRAGNA Benedetto,L'Ulivo
ALBERTI CASELLATI Maria Elisabetta,Forza Italia
ALBONETTI Martino,Rifondazione Comunista - Sinistra Europea
ALFONZI Daniela,Rifondazione Comunista - Sinistra Europea
ALLEGRINI Laura,Alleanza Nazionale
ALLOCCA Salvatore,Rifondazione Comunista - Sinistra Europea
AMATI Silvana,L'Ulivo
AMATO Paolo,Forza Italia
ANDREOTTI Giulio,Misto
ANGIUS Gavino,L'Ulivo;Sinistra Democratica per il Socialismo Europeo;Misto
ANTONIONE Roberto,Forza Italia;Democrazia Cristiana - Indipendenti - Movimento per l'Autonomia;Forza Italia
ASCIUTTI Franco,Forza Italia
AUGELLO Andrea,Alleanza Nazionale
AZZOLLINI Antonio,Forza Italia
BACCINI Mario,Unione dei Democraticicristiani e di Centro (UDC);Misto
BAIO Emanuela,L'Ulivo
BALBONI Alberto,Alleanza Nazionale
BALDASSARRI Mario,Alleanza Nazionale
BALDINI Massimo,Forza Italia
BANTI Egidio,L'Ulivo
BARBA Vincenzo,Forza Italia
BARBATO Tommaso,Misto
BARBIERI Roberto,L'Ulivo;Misto
BARBOLINI Giuliano,L'Ulivo
BARELLI Paolo,Forza Italia
BASSOLI Fiorenza,L'Ulivo
BATTAGLIA Antonio,Alleanza Nazionale
BATTAGLIA Giovanni,L'Ulivo;Sinistra Democratica per il Socialismo Europeo
BELLINI Giovanni,L'Ulivo;Sinistra Democratica per il Socialismo Europeo
BENVENUTO Giorgio,L'Ulivo
BERSELLI Filippo,Alleanza Nazionale
BETTAMIO Giampaolo,Forza Italia
BETTINI Goffredo Maria,L'Ulivo
BIANCO Enzo,L'Ulivo
BIANCONI Laura,Forza Italia
BINETTI Paola,L'Ulivo
BIONDI Alfredo,Forza Italia
BOBBA Luigi,L'Ulivo
BOCCIA Antonio,L'Ulivo
BOCCIA Maria Luisa,Rifondazione Comunista - Sinistra Europea
BODINI Paolo,L'Ulivo
BONADONNA Salvatore,Rifondazione Comunista - Sinistra Europea
BONFRISCO Anna Cinzia,Forza Italia
BORDON Willer,L'Ulivo;Misto
BORNACIN Giorgio,Alleanza Nazionale
BOSONE Daniele,L'Ulivo;Per le Autonomie
BRISCA MENAPACE Lidia,Rifondazione Comunista - Sinistra Europea
BRUNO Franco,L'Ulivo
BRUTTI Massimo,L'Ulivo
BRUTTI Paolo,L'Ulivo;Sinistra Democratica per il Socialismo Europeo
BUBBICO Filippo,L'Ulivo
BUCCICO Emilio Nicola,Alleanza Nazionale
BULGARELLI Mauro,Insieme con l'Unione Verdi - Comunisti Italiani
BURANI PROCACCINI Maria,Forza Italia
BUTTI Alessio,Alleanza Nazionale
BUTTIGLIONE Rocco,Unione dei Democraticicristiani e di Centro (UDC)
CABRAS Antonello,L'Ulivo
CAFORIO Giuseppe,Misto
CALDEROLI Roberto,Lega Nord Padania
CALVI Guido,L'Ulivo
CAMBER Giulio,Forza Italia
CANTONI Gianpiero Carlo,Forza Italia
CAPELLI Giovanna,Rifondazione Comunista - Sinistra Europea
CAPRILI Milziade,Rifondazione Comunista - Sinistra Europea
CARLONI Anna Maria,L'Ulivo
CARRARA Valerio,Forza Italia
CARUSO Antonino,Alleanza Nazionale
CASOLI Francesco,Forza Italia
CASSON Felice,L'Ulivo
CASTELLI Roberto,Lega Nord Padania
CENTARO Roberto,Forza Italia
CIAMPI Carlo Azeglio,Misto
CICCANTI Amedeo,Unione dei Democraticicristiani e di Centro (UDC)
CICOLANI Angelo Maria,Forza Italia
COLLI Ombretta,Forza Italia
COLLINO Giovanni,Alleanza Nazionale
COLOMBO Emilio,Misto
COLOMBO Furio,L'Ulivo
COMINCIOLI Romano,Forza Italia
CONFALONIERI Giovanni,Rifondazione Comunista - Sinistra Europea
CORONELLA Gennaro,Alleanza Nazionale
COSSIGA Francesco,Misto
COSSUTTA Armando,Insieme con l'Unione Verdi - Comunisti Italiani
COSTA Rosario Giorgio,Forza Italia
CUFFARO Salvatore,Unione dei Democraticicristiani e di Centro (UDC)
CURSI Cesare,Alleanza Nazionale
CURTO Euprepio,Alleanza Nazionale
CUSUMANO Stefano,Misto;Partito Democratico-L'Ulivo
CUTRUFO Mauro,Misto;Democrazia Cristiana - Indipendenti - Movimento per l'Autonomia
D'ALI' Antonio,Forza Italia
D'AMBROSIO Gerardo,L'Ulivo
D'AMICO Natale Maria Alfonso,L'Ulivo;Misto
DANIELI Franco,L'Ulivo
DAVICO Michelino,Lega Nord Padania
DE ANGELIS Marcello,Alleanza Nazionale
DE GREGORIO Sergio,Misto
DELL'UTRI Marcello,Forza Italia
DELOGU Mariano,Alleanza Nazionale
DEL PENNINO Antonio Adolfo Maria,Misto;Democrazia Cristiana-P. repubblicano ital-Indip.-Mov. per l'Autonomia
DEL ROIO Jose' Luiz,Rifondazione Comunista - Sinistra Europea
DE PETRIS Loredana,Insieme con l'Unione Verdi - Comunisti Italiani
DE POLI Antonio,Unione dei Democraticicristiani e di Centro (UDC)
DE SIMONE Andrea,L'Ulivo
