NAME,PARTIES
AGNELLI Giovanni,Misto
AGOSTINI Gerardo,Partito Popolare Italiano
ALBERTINI Renato,Rifondazione Comunista - Progressisti;Misto
AMORENA Michele,Lega
ANDREOLLI Tarcisio,Partito Popolare Italiano
ANDREOTTI Giulio,Partito Popolare Italiano;Democrazia Europea
ANGIUS Gavino,Sinistra Democratica - l'Ulivo
ANTOLINI Renzo,Lega
ARLACCHI Giuseppe,Sinistra Democratica - l'Ulivo
ASCIUTTI Franco,Forza Italia
AVOGADRO Roberto,Lega;Misto;Democrazia Europea
AYALA Giuseppe Maria,Sinistra Democratica - l'Ulivo
AZZOLLINI Antonio,Forza Italia
BALDINI Massimo,Forza Italia
BARBIERI Silvia,Sinistra Democratica - l'Ulivo
BARRILE Domenico,Sinistra Democratica - l'Ulivo
BASINI Giuseppe,Alleanza Nazionale
BASSANINI Franco,Sinistra Democratica - l'Ulivo
BATTAFARANO Giovanni Vittorio,Sinistra Democratica - l'Ulivo
BATTAGLIA Antonio,Alleanza Nazionale
BEDIN Tino,Partito Popolare Italiano
BERGONZI Piergiorgio,Rifondazione Comunista - Progressisti;Misto
BERNASCONI Anna Maria,Sinistra Democratica - l'Ulivo
BERTONI Raffaele,Sinistra Democratica - l'Ulivo
BESOSTRI Felice Carlo,Sinistra Democratica - l'Ulivo
BESSO CORDERO Livio,Rinnovamento Italiano;Misto;Democratici di Sinistra - l'Ulivo
BETTAMIO Giampaolo,Forza Italia
BETTONI BRANDANI Monica,Sinistra Democratica - l'Ulivo
BEVILACQUA Francesco,Alleanza Nazionale
BIANCO Walter,Lega;Misto;Democrazia Europea
BIASCO Francesco Saverio,Federazione Cristiano Democratica - CCD;Misto;Centro Cristiano Democratico
BISCARDI Luigi,Sinistra Democratica - l'Ulivo
BO Carlo,Partito Popolare Italiano
BOBBIO Norberto,Sinistra Democratica - l'Ulivo
BOCO Stefano,Verdi - l'Ulivo
BONATESTA Michele,Alleanza Nazionale
BONAVITA Massimo,Sinistra Democratica - l'Ulivo
BONFIETTI Daria,Sinistra Democratica - l'Ulivo
BORNACIN Giorgio,Alleanza Nazionale
BORRONI Roberto,Sinistra Democratica - l'Ulivo
BORTOLOTTO Francesco,Verdi - l'Ulivo
BOSELLO Furio,Alleanza Nazionale
BOSI Francesco,Federazione Cristiano Democratica - CCD
BRATINA Diodato (darko),Sinistra Democratica - l'Ulivo
BRIENZA Giuseppe,Federazione Cristiano Democratica - CCD
BRIGNONE Guido,Lega
BRUNI Giovanni,Rinnovamento Italiano;Misto;Rinnovamento Italiano e Indipendenti;Misto;Rinnov. Ital. Liberaldem. Ind.-Pop. per l'Europa;Forza Italia
BRUNO GANERI Antonella,Sinistra Democratica - l'Ulivo
BRUTTI Massimo,Sinistra Democratica - l'Ulivo
BUCCI Michele Arcangelo,Forza Italia
BUCCIARELLI Anna Maria,Sinistra Democratica - l'Ulivo
BUCCIERO Ettore,Alleanza Nazionale
CABRAS Antonello,Sinistra Democratica - l'Ulivo
CADDEO Rossano,Sinistra Democratica - l'Ulivo
CALLEGARO Luciano,Federazione Cristiano Democratica - CDU;Federazione Cristiano Democratica - CCD
CALVI Guido,Sinistra Democratica - l'Ulivo
CAMBER Giulio,Forza Italia
CAMERINI Fulvio,Sinistra Democratica - l'Ulivo
CAMO Giuseppe,Federazione Cristiano Democratica - CDU;Misto
CAMPUS Gianvittorio,Forza Italia;Alleanza Nazionale
CAPALDI Antonio,Sinistra Democratica - l'Ulivo
CAPONI Leonardo,Rifondazione Comunista - Progressisti;Misto
CARCARINO Antonio,Rifondazione Comunista - Progressisti;Misto;Democratici di Sinistra - l'Ulivo
CARELLA Francesco,Verdi - l'Ulivo
CARPI Umberto,Sinistra Democratica - l'Ulivo
CARPINELLI Carlo,Sinistra Democratica - l'Ulivo
CARUSO Antonino,Alleanza Nazionale
CARUSO Luigi,Misto
CASADEI MONTI Pierpaolo,Sinistra Democratica - l'Ulivo
CASTELLANI Carla,Alleanza Nazionale
CASTELLANI Pierluigi,Partito Popolare Italiano
CASTELLI Roberto,Lega
CAZZARO Bruno,Sinistra Democratica - l'Ulivo
CECCATO Giuseppe,Lega;Misto;Democrazia Europea
CECCHI GORI Vittorio,Partito Popolare Italiano
CENTARO Roberto,Forza Italia
CIMMINO Tancredi,Federazione Cristiano Democratica - CDU
CIONI Graziano,Sinistra Democratica - l'Ulivo
CIRAMI Melchiorre,Federazione Cristiano Democratica - CCD;Cristiani Dem. Uniti-Cristiani Dem. per la Repub.;Misto
CO' Fausto,Rifondazione Comunista - Progressisti;Misto
COLLA Adriano,Lega
COLLINO Giovanni,Alleanza Nazionale
CONTE Antonio,Sinistra Democratica - l'Ulivo
CONTESTABILE Domenico,Forza Italia
CORRAO Ludovico,Sinistra Democratica - l'Ulivo
CORSI ZEFFIRELLI Gian Franco,Forza Italia
CORTELLONI Augusto,Forza Italia;Misto;Rinnovamento Italiano e Indipendenti;Unione Democratica per la Repubblica (UDR)
CORTIANA Fiorello,Verdi - l'Ulivo
COSSIGA Francesco,Misto;per l'UDR (CDU-CDR-Nuova Italia);Misto
COSTA Rosario Giorgio,Federazione Cristiano Democratica - CDU;CCD-Cristiani Democratici per la liberta';Forza Italia
COVIELLO Romualdo Vittorio,Partito Popolare Italiano
COZZOLINO Carmine,Alleanza Nazionale
CRESCENZIO Mario,Sinistra Democratica - l'Ulivo
CRIPPA Aurelio Giuseppe,Rifondazione Comunista - Progressisti;Misto
CURTO Euprepio,Alleanza Nazionale
CUSIMANO Vito,Alleanza Nazionale
D'ALESSANDRO PRISCO Franca,Sinistra Democratica - l'Ulivo
D'ALI' Antonio,Forza Italia
DANIELE GALDI Maria Grazia,Sinistra Democratica - l'Ulivo
DANIELI Paolo,Alleanza Nazionale
DANZI Corrado,Centro Cristiano Democratico
DE ANNA Dino,Forza Italia
DEBENEDETTI Franco,Sinistra Democratica - l'Ulivo
DE CAROLIS Stelio,Misto;Democratici di Sinistra - l'Ulivo
DE CORATO Riccardo,Alleanza Nazionale
DE GUIDI Guido Cesare,Sinistra Democratica - l'Ulivo
DEL TURCO Ottaviano,Rinnovamento Italiano;Misto
DE LUCA Athos,Verdi - l'Ulivo
DE LUCA Michele,Sinistra Democratica - l'Ulivo
DE MARTINO Francesco,Sinistra Democratica - l'Ulivo
DE MARTINO Guido,Sinistra Democratica - l'Ulivo
DEMASI Vincenzo,Alleanza Nazionale
