NAME,PARTIES
COCIANCICH Roberto,Partito Democratico
COLLINA Stefano,Partito Democratico
COLOMBO Emilio,"Per le Autonomie (SVP, UV, PATT, UPT) - PSI"
COLUCCI Francesco,Il Popolo della Libertà;Nuovo Centrodestra
COMAROLI Silvana Andreina,Lega Nord e Autonomie
COMPAGNA Luigi,"Misto;Grandi Autonomie e Libertà;Nuovo Centrodestra;Grandi Autonomie e Libertà;Nuovo Centrodestra;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati, Movimento Base Italia, Idea);Conservatori e Riformisti;Misto;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L. - Movimento politico Libertas, Riscossa Italia);Federazione della Libertà (Idea-Popolo e Libertà, PLI)"
COMPAGNONE Giuseppe,Misto;Grandi Autonomie e Libertà;Alleanza Liberalpopolare-Autonomie
CONSIGLIO Nunziante,Lega Nord e Autonomie
CONTE Franco,Il Popolo della Libertà;Nuovo Centrodestra
CONTI Riccardo,Il Popolo della Libertà;Misto;Alleanza Liberalpopolare-Autonomie;Misto;Grandi Autonomie e Libertà - Unione dei Democratici Cristiani e Democratici di Centro
CORSINI Paolo,Partito Democratico;Articolo 1 - Movimento democratico e progressista
COTTI Roberto,Movimento 5 Stelle
CRIMI Vito Claudio,Movimento 5 Stelle
CROSIO Jonny,Misto;Grandi Autonomie e Libertà;Lega Nord e Autonomie
CUCCA Giuseppe Luigi Salvatore,Partito Democratico
CUOMO Vincenzo,Partito Democratico
D'ADDA Erica,Partito Democratico
D'ALI' Antonio,Il Popolo della Libertà;Nuovo Centrodestra;Forza Italia-Il Popolo della Libertà XVII Legislatura
DALLA TOR Mario,Il Popolo della Libertà;Nuovo Centrodestra
DALLA ZUANNA Gianpiero,Scelta Civica per l'Italia;Scelta Civica con Monti per l'Italia;Partito Democratico
D'AMBROSIO LETTIERI Luigi,"Il Popolo della Libertà;Conservatori, Riformisti italiani;Misto;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L. - Movimento politico Libertas, Riscossa Italia);Noi con l'Italia"
D'ANNA Vincenzo,Il Popolo della Libertà;Grandi Autonomie e Libertà;Alleanza Liberalpopolare-Autonomie
D'APUZZO Mario,ALA (Alleanza Liberal Popolare) - PRI (Partito Repubblicano Italiano)
D'ASCOLA Nico,Il Popolo della Libertà;Nuovo Centrodestra
DAVICO Michelino,"Lega Nord e Autonomie;Grandi Autonomie e Libertà;Federazione della Libertà (Idea-Popolo e Libertà, PLI)"
DE BIASI Emilia Grazia,Misto;Partito Democratico
DE CRISTOFARO Peppe,Misto
DEL BARBA Mauro,Partito Democratico
DELLA VEDOVA Benedetto,Scelta Civica per l'Italia;Scelta Civica con Monti per l'Italia;Misto
DE MONTE Isabella,Partito Democratico
DE PETRIS Loredana,Misto
DE PIETRO Cristina,Movimento 5 Stelle;Misto;Forza Italia-Il Popolo della Libertà XVII Legislatura
DE PIN Paola,"Movimento 5 Stelle;Misto;Grandi Autonomie e Libertà (Grande Sud, Libertà e Autonomia-noi SUD, Movimento per le Autonomie, Nuovo PSI, Popolari per l'Italia, Italia dei Valori, Vittime della Giustizia e del Fisco)"
DE POLI Antonio,Scelta Civica per l'Italia;Area Popolare (NCD-UDC);Misto;Grandi Autonomie e Libertà - Unione dei Democratici Cristiani e Democratici di Centro
DE SIANO Domenico,Il Popolo della Libertà
DI BIAGIO Aldo,Scelta Civica per l'Italia;Area Popolare (NCD-UDC)
DI GIACOMO Ulisse,"Nuovo Centrodestra;Federazione della Libertà (Idea-Popolo e Libertà, PLI)"
DI GIORGI Rosa Maria,Partito Democratico
