NAME,PARTIES
ADAMO Marilena,Partito Democratico
ADERENTI Irene,Lega Nord Padania
ADRAGNA Benedetto,Partito Democratico
AGOSTINI Mauro,Partito Democratico
ALBERTI CASELLATI Maria Elisabetta,Il Popolo della Libertà
ALICATA Bruno,Il Popolo della Libertà
ALLEGRINI Laura,Il Popolo della Libertà
AMATI Silvana,Partito Democratico
AMATO Paolo,Il Popolo della Libertà
AMORUSO Francesco Maria,Il Popolo della Libertà
ANDREOTTI Giulio,"UDC, SVP e Autonomie"
ANDRIA Alfonso,Partito Democratico
ANTEZZA Maria,Partito Democratico
ANTINORO Antonello,"UDC, SVP e Autonomie"
ARMATO Teresa,Partito Democratico
ASCIUTTI Franco,Il Popolo della Libertà
ASTORE Giuseppe,Italia dei Valori;Misto
AUGELLO Andrea,Il Popolo della Libertà
AZZOLLINI Antonio,Il Popolo della Libertà
BAIO Emanuela,Partito Democratico;Misto;Per il Terzo Polo (ApI-FLI)
BALBONI Alberto,Il Popolo della Libertà;Fratelli d'Italia - Centrodestra Nazionale
BALDASSARRI Mario,Il Popolo della Libertà;Futuro e Libertà per l'Italia;Misto;Per il Terzo Polo (ApI-FLI)
BALDINI Massimo,Il Popolo della Libertà
BARBOLINI Giuliano,Partito Democratico
BARELLI Paolo,Il Popolo della Libertà
BASSOLI Fiorenza,Partito Democratico
BASTICO Mariangela,Partito Democratico
BATTAGLIA Antonio,Il Popolo della Libertà
BELISARIO Felice,Italia dei Valori
BENEDETTI VALENTINI Domenico,Il Popolo della Libertà
BERSELLI Filippo,Il Popolo della Libertà;Centrodestra Nazionale;Il Popolo della Libertà
BERTUZZI Maria Teresa,Partito Democratico
BETTAMIO Giampaolo,Il Popolo della Libertà
BEVILACQUA Francesco,Il Popolo della Libertà;Fratelli d'Italia - Centrodestra Nazionale
BIANCHI Dorina,"Partito Democratico;UDC, SVP e Autonomie;Il Popolo della Libertà"
BIANCO Enzo,Partito Democratico
BIANCONI Laura,Il Popolo della Libertà
BIONDELLI Franca,Partito Democratico
BLAZINA Tamara,Partito Democratico
BODEGA Lorenzo,Lega Nord Padania;Misto
BOLDI Rossana,Lega Nord Padania
BOLDRINI Giacinto,Il Popolo della Libertà;Misto
BONDI Sandro,Il Popolo della Libertà
BONFRISCO Anna Cinzia,Il Popolo della Libertà
BONINO Emma,Partito Democratico
BORNACIN Giorgio,Il Popolo della Libertà
BOSCETTO Gabriele,Il Popolo della Libertà
BOSONE Daniele,Partito Democratico
BRICOLO Federico,Lega Nord Padania
BRUNO Franco,Partito Democratico;Misto;Per il Terzo Polo (ApI-FLI)
BUBBICO Filippo,Partito Democratico
BUGNANO Patrizia,Italia dei Valori
BURGARETTA APARO Sebastiano,Misto;Il Popolo della Libertà
BUTTI Alessio,Il Popolo della Libertà;Centrodestra Nazionale
CABRAS Antonello,Partito Democratico
CAFORIO Giuseppe,Italia dei Valori
CAGNIN Luciano,Lega Nord Padania
CALABRO' Raffaele,Il Popolo della Libertà
CALDEROLI Roberto,Lega Nord Padania
CALIENDO Giacomo,Il Popolo della Libertà
CALIGIURI Battista,Il Popolo della Libertà
CAMBER Giulio,Il Popolo della Libertà
CANTONI Gianpiero Carlo,Il Popolo della Libertà
CARDIELLO Franco,Il Popolo della Libertà;Coesione Nazionale;Il Popolo della Libertà
CARLINO Giuliana,Italia dei Valori
CARLONI Anna Maria,Partito Democratico
CAROFIGLIO Gianrico,Partito Democratico
CARRARA Valerio,Il Popolo della Libertà;Coesione Nazionale
CARUSO Antonino,Il Popolo della Libertà;Centrodestra Nazionale
CASELLI Esteban Juan,Il Popolo della Libertà
CASOLI Francesco,Il Popolo della Libertà
CASSON Felice,Partito Democratico
CASTELLI Roberto,Lega Nord Padania
CASTIGLIONE Maria Giuseppa,Misto;Coesione Nazionale
CASTRO Maurizio,Il Popolo della Libertà
CECCANTI Stefano,Partito Democratico
CENTARO Roberto,Il Popolo della Libertà;Coesione Nazionale - Io Sud
CERUTI Mauro,Partito Democratico
