NAME,PARTIES
ACCIARINI Maria Chiara,Democratici di Sinistra - l'Ulivo
AGNELLI Giovanni,Per le Autonomie
AGOGLIATI Antonio,Forza Italia
AGONI Sergio,Lega Nord Padania
ALBERTI CASELLATI Maria Elisabetta,Forza Italia
AMATO Giuliano,Misto
ANDREOTTI Giulio,Per le Autonomie
ANGIUS Gavino,Democratici di Sinistra - l'Ulivo
ANTONIONE Roberto,Forza Italia
ARCHIUTTI Giacomo,Forza Italia
ASCIUTTI Franco,Forza Italia
AYALA Giuseppe Maria,Democratici di Sinistra - l'Ulivo
AZZOLLINI Antonio,Forza Italia
BAIO Emanuela,Margherita
BALBONI Alberto,Alleanza Nazionale
BALDINI Massimo,Forza Italia
BARATELLA Fabio,Democratici di Sinistra - l'Ulivo
BARELLI Paolo,Forza Italia
BASILE Filadelfio Guido,Forza Italia;Misto;Margherita - DL - L'Ulivo
BASSANINI Franco,Democratici di Sinistra - l'Ulivo
BASSO Marcello,Democratici di Sinistra - l'Ulivo
BASTIANONI Stefano,Margherita
BATTAFARANO Giovanni Vittorio,Democratici di Sinistra - l'Ulivo
BATTAGLIA Antonio,Alleanza Nazionale
BATTAGLIA Giovanni,Democratici di Sinistra - l'Ulivo
BATTISTI Alessandro,Margherita
BEDIN Tino,Margherita
BERGAMO Ugo,CCD-CDU: Biancofiore
BERLINGUER Luigi,Democratici di Sinistra - l'Ulivo
BETTA Mauro,Per le Autonomie
BETTAMIO Giampaolo,Forza Italia
BETTONI BRANDANI Monica,Democratici di Sinistra - l'Ulivo
BEVILACQUA Francesco,Alleanza Nazionale
BIANCONI Laura,Forza Italia
BISCARDINI Roberto,Misto
BO Carlo,Margherita
BOBBIO Luigi,Alleanza Nazionale
BOBBIO Norberto,Democratici di Sinistra - l'Ulivo
BOCO Stefano,Verdi - l'Ulivo
BOLDI Rossana,Lega Nord Padania
BONATESTA Michele,Alleanza Nazionale
BONAVITA Massimo,Democratici di Sinistra - l'Ulivo
BONFIETTI Daria,Democratici di Sinistra - l'Ulivo
BONGIORNO Giuseppe,Alleanza Nazionale
BORDON Willer,Margherita
BOREA Leonzio,CCD-CDU: Biancofiore
BOSCETTO Gabriele,Forza Italia
BOSI Francesco,CCD-CDU: Biancofiore
BRIGNONE Guido,Lega Nord Padania
BRUNALE Giovanni,Democratici di Sinistra - l'Ulivo
BRUTTI Massimo,Democratici di Sinistra - l'Ulivo
BRUTTI Paolo,Democratici di Sinistra - l'Ulivo
BUCCIERO Ettore,Alleanza Nazionale
BUDIN Milos,Democratici di Sinistra - l'Ulivo
CADDEO Rossano,Democratici di Sinistra - l'Ulivo
CALDEROLI Roberto,Lega Nord Padania
CALLEGARO Luciano,CCD-CDU: Biancofiore
CALVI Guido,Democratici di Sinistra - l'Ulivo
CAMBER Giulio,Forza Italia
CAMBURSANO Renato,Margherita
CANTONI Gianpiero Carlo,Forza Italia
CARELLA Francesco,Verdi - l'Ulivo
CARRARA Valerio,Misto;Forza Italia
CARUSO Antonino,Alleanza Nazionale
CARUSO Luigi,Misto
CASILLO Tommaso,Misto
CASTAGNETTI Guglielmo,Forza Italia
CASTELLANI Pierluigi,Margherita
CASTELLI Roberto,Lega Nord Padania
CAVALLARO Mario,Margherita
CENTARO Roberto,Forza Italia
CHERCHI Pietro,CCD-CDU: Biancofiore
CHINCARINI Umberto,Lega Nord Padania
CHIRILLI Francesco,Forza Italia
CHIUSOLI Franco,Democratici di Sinistra - l'Ulivo
CICCANTI Amedeo,CCD-CDU: Biancofiore
CICOLANI Angelo Maria,Forza Italia
CIRAMI Melchiorre,CCD-CDU: Biancofiore
COLETTI Tommaso,Margherita
COLLINO Giovanni,Alleanza Nazionale
COLOMBO Emilio,Misto
COMINCIOLI Romano,Forza Italia
COMPAGNA Luigi,CCD-CDU: Biancofiore
CONSOLO Giuseppe,Alleanza Nazionale
CONTESTABILE Domenico,Forza Italia
CORRADO Andrea,Lega Nord Padania
CORTIANA Fiorello,Verdi - l'Ulivo
COSSIGA Francesco,Misto;Per le Autonomie
COSTA Rosario Giorgio,Forza Italia
COVIELLO Romualdo Vittorio,Margherita
COZZOLINO Carmine,Alleanza Nazionale
CREMA Giovanni,Misto
CRINO' Francesco Antonio,Misto
CURSI Cesare,Alleanza Nazionale
CURTO Euprepio,Alleanza Nazionale
CUTRUFO Mauro,CCD-CDU: Biancofiore;Misto
D'ALI' Antonio,Forza Italia
DALLA CHIESA Nando,Margherita
D'AMBROSIO Alfredo,Forza Italia;Misto
D'AMICO Natale Maria Alfonso,Margherita
D'ANDREA Giampaolo,Margherita
DANIELI Franco,Margherita
DANIELI Paolo,Alleanza Nazionale
DANZI Corrado,CCD-CDU: Biancofiore
DATO Cinzia,Margherita
DEBENEDETTI Franco,Democratici di Sinistra - l'Ulivo
DE CORATO Riccardo,Alleanza Nazionale
DEGENNARO Giuseppe,Forza Italia
DELL'UTRI Marcello,Forza Italia
DELOGU Mariano,Alleanza Nazionale
DEL PENNINO Antonio Adolfo Maria,Misto
DEL TURCO Ottaviano,Misto
DE MARTINO Francesco,Democratici di Sinistra - l'Ulivo
DEMASI Vincenzo,Alleanza Nazionale
DENTAMARO Ida Maria,Margherita;Misto
DE PAOLI Elidio,Misto
DE PETRIS Loredana,Verdi - l'Ulivo
DE RIGO Walter,Forza Italia
DETTORI Bruno,Margherita
DE ZULUETA Tana,Democratici di Sinistra - l'Ulivo;Misto;Verdi - l'Unione
DI GIROLAMO Leopoldo,Democratici di Sinistra - l'Ulivo
DINI Lamberto,Margherita
D'IPPOLITO VITALE Ida,Forza Italia
DI SIENA Piero,Democratici di Sinistra - l'Ulivo
DONADI Massimo,Misto
DONATI Anna,Verdi - l'Ulivo
D'ONOFRIO Francesco,CCD-CDU: Biancofiore
EUFEMI Maurizio,CCD-CDU: Biancofiore
FABBRI Luigi,Forza Italia
FABRIS Mauro,Margherita;Misto
FALCIER Luciano,Forza Italia
FALOMI Antonio,Democratici di Sinistra - l'Ulivo;Misto
FASOLINO Gaetano,Forza Italia
FASSONE Elvio,Democratici di Sinistra - l'Ulivo
FAVARO Gian Pietro,Forza Italia
FEDERICI Pasqualino Lorenzo,Forza Italia
FERRARA Mario,Forza Italia
FILIPPELLI Nicodemo Francesco,Margherita;Misto
FIRRARELLO Giuseppe,Forza Italia
FISICHELLA Domenico,Alleanza Nazionale;Misto
FLAMMIA Angelo,Democratici di Sinistra - l'Ulivo
FLORINO Michele,Alleanza Nazionale
FORCIERI Giovanni Lorenzo,Democratici di Sinistra - l'Ulivo
FORLANI Alessandro,CCD-CDU: Biancofiore
FORMISANO Aniello,Margherita;Misto
FORTE Michele,CCD-CDU: Biancofiore
FRANCO Paolo,Lega Nord Padania
FRANCO Vittoria,Democratici di Sinistra - l'Ulivo
FRAU Aventino,Forza Italia;Per le Autonomie
GABURRO Giuseppe,CCD-CDU: Biancofiore
GAGLIONE Antonio,Margherita
GARRAFFA Costantino,Democratici di Sinistra - l'Ulivo
GASBARRI Mario,Democratici di Sinistra - l'Ulivo
GENTILE Antonio,Forza Italia
GIARETTA Paolo,Margherita
GIOVANELLI Fausto,Democratici di Sinistra - l'Ulivo
GIRFATTI Antonio Franco,Forza Italia
GIULIANO Pasquale,Forza Italia
GRECO Mario,Forza Italia
GRILLO Luigi,Forza Italia
GRILLOTTI Lamberto,Alleanza Nazionale
GRUOSSO Vito,Democratici di Sinistra - l'Ulivo
GUASTI Vittorio,Forza Italia
GUBERT Renzo,CCD-CDU: Biancofiore
GUBETTI Furio,Forza Italia
GUERZONI Luciano,Democratici di Sinistra - l'Ulivo
GUZZANTI Paolo,Forza Italia
IANNUZZI Raffaele,Forza Italia
IERVOLINO Antonio,CCD-CDU: Biancofiore
IOANNUCCI Maria Claudia,Forza Italia
IOVENE Nuccio,Democratici di Sinistra - l'Ulivo
IZZO Cosimo,Forza Italia
KAPPLER Domenico,Alleanza Nazionale
KOFLER Alois,Per le Autonomie
LABELLARTE Gerardo,Misto
LA LOGGIA Enrico,Forza Italia
LATORRE Nicola,Democratici di Sinistra - l'Ulivo
LAURIA Michele,Margherita
LAURO Salvatore,Forza Italia;Misto
LAVAGNINI Severino,Margherita
LEGNINI Giovanni,Democratici di Sinistra - l'Ulivo
LEONE Giovanni,Misto
LEVI-MONTALCINI Rita,Misto
LIGUORI Ettore,Margherita
LONGHI Aleandro,Democratici di Sinistra - l'Ulivo
LUZI Mario,Misto
MACONI Loris Giuseppe,Democratici di Sinistra - l'Ulivo
MAFFIOLI Graziano,CCD-CDU: Biancofiore
MAGISTRELLI Marina,Margherita
MAGNALBO' Luciano,Alleanza Nazionale
MAGRI Gianluigi,CCD-CDU: Biancofiore
MAINARDI Guido,Forza Italia
MALABARBA Luigi,Misto
MALAN Lucio,Forza Italia
MALENTACCHI Giorgio,Misto
MANCINO Nicola,Margherita
MANFREDI Luigi,Forza Italia
MANIERI Maria Rosaria,Misto
MANTICA Alfredo,Alleanza Nazionale
MANUNZA Ignazio,Forza Italia
MANZELLA Andrea,Democratici di Sinistra - l'Ulivo
MANZIONE Roberto,Margherita
MARANO Salvatore,Forza Italia
MARINI Cesare,Misto
MARINO Luigi,Misto
MARITATI Alberto,Democratici di Sinistra - l'Ulivo
MARTONE Francesco,Verdi - l'Ulivo;Misto
MASCIONI Giuseppe,Democratici di Sinistra - l'Ulivo
MASSUCCO Alberto Felice Simone,Alleanza Nazionale
MEDURI Renato,Alleanza Nazionale
MELELEO Salvatore,CCD-CDU: Biancofiore
MENARDI Giuseppe,Alleanza Nazionale
MICHELINI Renzo,Per le Autonomie
MINARDO Riccardo,Forza Italia
MODICA Luciano,Democratici di Sinistra - l'Ulivo
MONCADA Gino,CCD-CDU: Biancofiore
MONTAGNINO Antonio Michele,Margherita
MONTALBANO Accursio,Democratici di Sinistra - l'Ulivo
MONTI Cesarino,Lega Nord Padania
MONTICONE Alberto Adalgisio,Margherita
MONTINO Esterino,Democratici di Sinistra - l'Ulivo
MORANDO Enrico,Democratici di Sinistra - l'Ulivo
MORO Francesco,Lega Nord Padania
MORRA Carmelo,Forza Italia
MORSELLI Stefano,Alleanza Nazionale
MUGNAI Franco,Alleanza Nazionale
MULAS Giuseppe,Alleanza Nazionale
MURINEDDU Giovanni Pietro,Democratici di Sinistra - l'Ulivo
MUZIO Angelo,Verdi - l'Ulivo
NANIA Domenico,Alleanza Nazionale
NAPOLITANO Giorgio,Democratici di Sinistra - l'Ulivo
NESSA Pasquale,Forza Italia
NIEDDU Gianni,Democratici di Sinistra - l'Ulivo
NOCCO Giuseppe Onorato Benito,Forza Italia
NOVI Emiddio,Forza Italia
OCCHETTO Achille,Misto
OGNIBENE Liborio,Forza Italia
